13,29,3
65,41,17
86,51,44
4,19,73
59,29,66
87,53,22
53,90,61
68,98,72
57,79,51
63,14,2
79,65,37
59,78,1
74,2,5
24,26,4
99,80,82
68,40,33
85,33,49
73,42,58
62,79,57
8,74,22
13,58,1
13,64,18
38,1,29
94,96,98
64,10,60
93,82,96
66,57,24
66,63,22
94,34,38
18,86,1
89,90,36
19,81,5
50,42,51
26,54,65
2,20,16
12,16,3
50,45,10
27,30,84
50,27,4
97,37,5
97,6,63
14,49,55
96,91,6
44,25,10
60,95,81
98,100,35
86,87,12
53,12,95
57,48,56
64,98,83
73,64,100
25,73,32
1,43,47
28,49,24
77,8,25
6,45,95
22,91,41
37,5,40
91,27,78
76,63,38
11,62,16
75,37,52
12,94,20
45,5,92
8,5,30
69,78,72
94,92,58
85,55,83
6,37,65
46,77,81
22,47,96
97,55,100
57,52,88
20,34,83
15,75,35
41,78,21
7,37,36
24,100,38
90,60,23
60,76,25
30,40,52
47,85,67
45,48,54
36,69,90
62,95,6
10,97,72
92,38,7
30,39,18
94,85,59
56,60,88
16,62,78
81,17,45
33,6,45
30,64,71
78,66,76
87,35,95
31,34,94
80,6,26
74,76,54
74,10,38
38,100,57
